name, slug, country, ambiguous, website_url, myspace_url, twitter_url, facebook_url, youtube_url
Bal-Sagoth,bal-sagoth,gb,0,None,http://www.myspace.com/balsagoth,http://twitter.com/bal_sagoth,http://www.facebook.com/pages/Bal-Sagoth/8681264269,None
Baroness,baroness,us,1,None,http://www.myspace.com/yourbaroness,http://twitter.com/YourBaroness,http://www.facebook.com/YourBaroness,None
Behemoth,behemoth,pl,1,None,http://www.myspace.com/behemoth,http://twitter.com/behemothband,http://www.facebook.com/behemoth,None
Behold... the Arctopus,behold-the-arctopus,us,0,None,http://www.myspace.com/beholdthearctopus,None,http://www.facebook.com/pages/Behold-The-Arctopus/15899396708,None
Beneath the Massacre,beneath-the-massacre,ca,0,None,http://www.myspace.com/btm,http://twitter.com/BTMUpdates,http://www.facebook.com/pages/Beneath-the-Massacre/33645575715,http://www.youtube.com/BTMvideos
Between the Buried and Me,between-the-buried-and-me,us,0,None,http://www.myspace.com/betweentheburiedandmeband,http://twitter.com/btbamofficial,http://www.facebook.com/pages/Between-the-Buried-and-Me/10006892353,None
Biomechanical,biomechanical,gb,1,None,http://www.myspace.com/biomechanical,None,None,None
Blackguard,blackguard,ca,0,None,http://www.myspace.com/blackguard,http://twitter.com/BlackGuardMetal,http://www.facebook.com/blackguardband,None
Blood Has Been Shed,blood-has-been-shed,us,0,None,http://www.myspace.com/bloodhasbeenshed,None,None,None
Bloodbath,bloodbath,se,1,None,http://www.myspace.com/bloodbathband,http://twitter.com/BloodbathBand,http://www.facebook.com/bloodbathband,None
Blotted Science,blotted-science,us,0,None,http://www.myspace.com/blottedscience,None,http://www.facebook.com/pages/Blotted-Science/78922582770,None
Boards of Canada,boards-of-canada,gb,0,None,http://www.myspace.com/abeautifulplace,http://twitter.com/boctransmission,http://www.facebook.com/boardsofcanada,None
Borknagar,borknagar,no,0,None,http://www.myspace.com/borknagar,None,http://www.facebook.com/pages/BORKNAGAR-OFFICIAL/112606377081,None
Born of Osiris,born-of-osiris,us,0,None,http://www.myspace.com/bornofosiris,http://twitter.com/booofficial,http://www.facebook.com/pages/Born-of-Osiris/242025224992,http://www.youtube.com/bornofosirisofficial
Brazen Bull,brazen-bull,au,1,None,http://www.myspace.com/brazenbullmusic,None,None,None
Brutal Truth,brutal-truth,us,1,None,http://www.myspace.com/brutalfuckingtruth,http://twitter.com/BrutalTruthNY,http://www.facebook.com/brutaltruth,None
Buried Inside,buried-inside,ca,1,None,http://www.myspace.com/buriedinside,http://twitter.com/BuriedInside,http://www.facebook.com/BuriedInside,None
Burnt by the Sun,burnt-by-the-sun,us,0,None,http://www.myspace.com/burntbythesun,http://twitter.com/BurntbythesunNJ,http://www.facebook.com/BurntByTheSun,None
Candiria,candiria,us,0,None,http://www.myspace.com/candiria,http://twitter.com/Candiria,http://www.facebook.com/pages/Candiria/99660404061,None
Cannibal Corpse,cannibal-corpse,us,0,None,http://www.myspace.com/cannibalcorpse,None,http://www.facebook.com/cannibalcorpse,None
Canvas Solaris,canvas-solaris,us,0,None,http://www.myspace.com/canvassolaris,None,None,None
Car Bomb,car-bomb,us,1,None,http://www.myspace.com/carbomb,None,http://www.facebook.com/CarBomb,None
Carcass,carcass,gb,1,None,http://www.myspace.com/carcass,None,http://www.facebook.com/pages/Carcass-Band/31637682166,None
Celldweller,celldweller,us,0,None,http://www.myspace.com/celldweller,http://twitter.com/celldweller,http://www.facebook.com/celldweller,http://www.youtube.com/user/celldweller
Centaurus-A,centaurus-a,de,0,None,http://www.myspace.com/centaurusa,None,None,None
Cephalectomy,cephalectomy,ca,0,None,http://www.myspace.com/cephalectomy,None,None,None
Cephalic Carnage,cephalic-carnage,us,0,None,http://www.myspace.com/cephaliccarnage,http://twitter.com/CephalicCarnage,http://www.facebook.com/CephalicCarnage,None
Children of Bodom,children-of-bodom,fi,0,None,http://www.myspace.com/childrenofbodom,http://twitter.com/cobhc,http://www.facebook.com/childrenofbodom,http://www.youtube.com/user/cobofficial
Church of Misery,church-of-misery,jp,0,None,http://www.myspace.com/churchofserialkiller,None,None,None
CiLiCe,cilice,nl,1,None,http://www.myspace.com/cilicemusic,http://twitter.com/cilicemusic,http://www.facebook.com/pages/CILICE/86771721799,None
Circle Of Contempt,circle-of-contempt,fi,0,None,http://www.myspace.com/circleofcontempt,http://twitter.com/cocband,http://www.facebook.com/pages/CIRCLE-OF-CONTEMPT/73408413856,http://www.youtube.com/user/CircleofContempt
Clutch,clutch,us,1,None,http://www.myspace.com/clutchband,None,None,None
Coalesce,coalesce,us,1,None,http://www.myspace.com/coalesce,http://twitter.com/coalesceOX,http://www.facebook.com/Coalesce,None
Collapsar,collapsar,us,1,None,http://www.myspace.com/collapsar,None,None,None
Converge,converge,us,1,None,http://www.myspace.com/converge,http://www.myspace.com/converge,http://www.facebook.com/pages/Converge-band/39234863052,http://www.youtube.com/user/convergeband
Coprofago,coprofago,cl,1,None,http://www.myspace.com/coprofago,None,http://www.facebook.com/pages/Coprofago/46271345140,None
Corrosion of Conformity,corrosion-of-conformity,us,0,None,http://www.myspace.com/corrosionconformity,None,None,None
Cryptopsy,cryptopsy,ca,0,None,http://www.myspace.com/cryptopsy,None,http://www.facebook.com/pages/cryptopsy/44404541872,None
Cynic,cynic,us,1,None,http://www.myspace.com/cyniconline,http://twitter.com/cyniconline,None,http://www.youtube.com/cynicdocumentary
Dark Tranquillity,dark-tranquillity,se,0,None,http://www.myspace.com/dtofficial,http://twitter.com/DTofficial,http://www.facebook.com/dtofficial,http://www.youtube.com/user/dtofficial
Darkane,darkane,se,0,None,http://www.myspace.com/darkane,None,http://www.facebook.com/darkane,http://www.youtube.com/user/darkaneofficial
Darkthrone,darkthrone,no,0,None,http://www.myspace.com/officialdarkthrone,None,None,None
Deadbird,deadbird,us,1,None,http://www.myspace.com/deadbird,None,None,None
Decapitated,decapitated,pl,1,None,http://www.myspace.com/decapitated,http://twitter.com/decapitated,http://www.facebook.com/decapitated,None
Destroy Destroy Destroy,destroy-destroy-destroy,us,0,None,http://www.myspace.com/destroydestroydestroy,http://twitter.com/dstrydstrydstry,None,None
Devin Townsend,devin-townsend,ca,0,None,http://www.myspace.com/devintownsenddtb,http://twitter.com/Dvntownsend,http://www.facebook.com/pages/Devin-Townsend/20898960756,None
Devolved,devolved,au,1,None,http://www.myspace.com/devolvedmetal,None,http://www.facebook.com/pages/DEVOLVED/30702398120,None
Dimmu Borgir,dimmu-borgir,no,0,None,http://www.myspace.com/dimmuborgir,http://twitter.com/dimmu_borgir,http://www.facebook.com/pages/Dimmu-Borgir/271847211041,http://www.youtube.com/dimmuborgir
Divinity,divinity,ca,1,None,http://www.myspace.com/divinitymetal,http://twitter.com/divinitymetal,http://www.facebook.com/pages/Divinity/12560300399,None
Down,down,us,1,None,http://www.myspace.com/downnola,http://twitter.com/downnola,http://www.facebook.com/down,http://www.youtube.com/downnolacom
DragonForce,dragonforce,gb,0,None,http://www.myspace.com/dragonforce,http://twitter.com/DragonForcetwit,http://www.facebook.com/dragonforce,http://www.youtube.com/user/dragonforceofficial
Dying Fetus,dying-fetus,us,0,None,http://www.myspace.com/dyingfetus,http://twitter.com/DyingFetusBand,http://www.facebook.com/DyingFetus,None
Dysrhythmia,dysrhythmia,us,0,None,http://www.myspace.com/dysrhythmiaband,http://twitter.com/dysrhythmia,http://www.facebook.com/Dysrhythmia,None
Ed Gein,ed-gein,us,1,None,http://www.myspace.com/edgeinband,None,None,None
Edge of Sanity,edge-of-sanity,se,1,None,http://www.myspace.com/edgeofsanity01,None,None,None
Electric Wizard,electric-wizard,gb,0,None,http://www.myspace.com/electricwizarddorsetdoom,None,http://www.facebook.com/pages/Electric-Wizard/8758289388,None
Eluveitie,eluveitie,ch,0,None,http://www.myspace.com/eluveitie,http://twitter.com/eluveitie,http://www.facebook.com/eluveitie,http://www.youtube.com/user/eluveitieofficial
Empyrean Sky,empyrean-sky,us,0,None,http://www.myspace.com/empyreansky,None,None,None
Ensiferum,ensiferum,fi,0,None,http://www.myspace.com/officialensiferum,http://twitter.com/EnsiferumMetal,http://www.facebook.com/Ensiferum,None
Ephel Duath,ephel-duath,it,0,None,http://www.myspace.com/ephelduath,None,http://www.facebook.com/pages/Ephel-Duath/33755520434,None
Epicurean,epicurean,us,1,None,http://www.myspace.com/epicurean,http://twitter.com/epicureanmetal,http://www.facebook.com/pages/Epicurean/26806800933,None
Equilibrium,equilibrium,de,1,None,http://www.myspace.com/equilibrium,None,None,http://www.youtube.com/user/EquilibriumClips
Estradasphere,estradasphere,us,0,None,http://www.myspace.com/estradasphere,None,http://www.facebook.com/pages/Estradasphere/8327820635,None
Eternal Elysium,eternal-elysium,jp,0,None,http://www.myspace.com/eternalelysiumjapan,None,None,None
Exodus,exodus,us,1,None,http://www.myspace.com/exodus,http://twitter.com/_exodus,http://www.facebook.com/exodusattack,http://www.youtube.com/exodus
Eyehategod,eyehategod,us,0,None,http://www.myspace.com/eyehategod,None,http://www.facebook.com/OfficialEyeHateGod,None
Fear Factory,fear-factory,us,0,None,http://www.myspace.com/fearfactoryofficial,None,http://www.facebook.com/fearfactory,None
Fellsilent,fellsilent,gb,0,None,http://www.myspace.com/fellsilent,http://twitter.com/fellsilentuk,http://www.facebook.com/pages/Fell-Silent/6793458926,None
Finntroll,finntroll,fi,0,None,http://www.myspace.com/officialfinntroll,http://twitter.com/finntrollmusic,None,None
Four Question Marks,four-question-marks,fr,1,None,http://www.myspace.com/fourquestionmarksrules,None,None,None
Genghis Tron,genghis-tron,us,0,None,http://www.myspace.com/genghistron,http://twitter.com/GenghisTronBand,http://www.facebook.com/GenghisTron,None
Goatwhore,goatwhore,us,0,None,http://www.myspace.com/goatwhore,http://twitter.com/goatwhoreNola,http://www.facebook.com/thegoat666,None
God Forbid,god-forbid,us,1,None,http://www.myspace.com/godforbid,http://twitter.com/godforbidmusic,http://www.facebook.com/pages/God-Forbid/22315937715,http://www.youtube.com/user/GFTV
Gojira,gojira,fr,1,None,http://www.myspace.com/gojira,http://twitter.com/GojiraOfficial,http://www.facebook.com/pages/Gojira/24660153608,None
Gorod,gorod,fr,1,None,http://www.myspace.com/gorod,http://twitter.com/gorod_dm,http://www.facebook.com/pages/Gorod-The-Official-Page/171754675075,None
Grand Magus,grand-magus,se,0,None,http://www.myspace.com/grandmagusrocks,None,http://www.facebook.com/pages/Grand-Magus/70847979357,None
Green Carnation,green-carnation,no,1,None,http://www.myspace.com/xgreencarnationx,None,http://www.facebook.com/pages/Green-Carnation/15257289889,None
Hewhocorrupts,hewhocorrupts,us,0,None,http://www.myspace.com/hewhocorrupts,None,None,None
High on Fire,high-on-fire,us,0,None,http://www.myspace.com/highonfireslays,http://twitter.com/HighonFireband,http://www.facebook.com/highonfire,None
Hunab Ku,hunab-ku,us,0,None,http://www.myspace.com/hunabku,None,http://www.facebook.com/pages/Hunab-Ku/179322132421,None
Hybrid,hybrid,es,1,None,http://www.myspace.com/hybridmetal,None,None,None
Hypocrisy,hypocrisiy,se,1,None,http://www.myspace.com/hypocrisy,http://twitter.com/HypocrisyBand,http://www.facebook.com/pages/Hypocrisy/8146878809,None
Illogicist,illogicist,it,0,None,http://www.myspace.com/illogicist666,None,http://www.facebook.com/pages/ILLOGICIST/40008043726,None
In Flames,in-flames,se,1,None,http://www.myspace.com/inflames,http://twitter.com/inFlames_SWE,http://www.facebook.com/pages/In-Flames/8276873465,None
Indricothere,indricothere,us,1,None,http://www.myspace.com/indricothere,None,None,None
Into Eternity,into-eternity,ca,1,None,http://www.myspace.com/officialintoeternity,http://twitter.com/IntoEternity,http://www.facebook.com/pages/Into-Eternity/34726295140,None
Into the Moat,into-the-moat,us,1,None,http://www.myspace.com/intothemoat,None,None,None
Intronaut,intronaut,us,0,None,http://www.myspace.com/intronaut,http://twitter.com/intronaut,http://www.facebook.com/Intronaut,http://www.youtube.com/user/IntronautBand
Ion Dissonance,ion-dissonance,ca,0,None,http://www.myspace.com/iondissonance,http://twitter.com/iondissonance,http://www.facebook.com/pages/ION-DISSONANCE/27830385144,None
Isis,isis,us,1,None,http://www.myspace.com/sgnl05,None,http://www.facebook.com/pages/Isis/30453408338,None
iwrestledabearonce,iwrestledabearonce,us,0,None,http://www.myspace.com/iwrestledabearonce,http://twitter.com/IWABO,http://www.facebook.com/iwrestledabearonce,None
Jesu,jesu,gb,1,None,http://www.myspace.com/officialjesu,http://twitter.com/JKBroadrick,http://www.facebook.com/pages/Jesu/39447271253,None
Job For A Cowboy,job-for-a-cowboy,us,0,None,http://www.myspace.com/jobforacowboy,http://twitter.com/JFACMETAL,http://www.facebook.com/jobforacowboy,None
Kalmah,kalmah,fi,0,None,http://www.myspace.com/kalmah,None,http://www.facebook.com/pages/Kalmah/10536824401,None
Kataklysm,kataklysm,ca,0,None,http://www.myspace.com/kataklysm,http://twitter.com/kataklysmband,http://www.facebook.com/kataklysm,http://www.youtube.com/user/kataklysmrocks
Kayo Dot,kayo-dot,us,0,None,http://www.myspace.com/kayodot,None,http://www.facebook.com/pages/Kayo-Dot/22510367204,None
Keelhaul,keelhaul,us,1,None,http://www.myspace.com/mykeelhaul,None,None,None
Kill the Client,kill-the-client,us,0,None,http://www.myspace.com/killtheclient,None,None,None
Killswitch Engage,killswitch-engage,us,0,None,http://www.myspace.com/killswitchengage,http://twitter.com/KSEOfficial,http://www.facebook.com/killswitchengage,None
King Crimson,king-crimson,gb,0,None,http://www.myspace.com/officialkingcrimson,http://twitter.com/DGMLive,None,None
Kreator,kreator,de,0,None,http://www.myspace.com/officialkreator,http://www.twitter.com/kreatorofficial,http://www.facebook.com/KreatorOfficial,http://www.youtube.com/Kreatorofficial
Kylesa,kylesa,us,0,None,http://www.myspace.com/kylesa,http://twitter.com/kylesamusic,http://www.facebook.com/pages/KYLESA/13205263444,None
Lacuna Coil,lacuna-coil,it,0,None,http://www.myspace.com/lacunacoil,http://twitter.com/shallowlife,http://www.facebook.com/lacunacoil,http://www.youtube.com/user/lacunacoil
Lamb of God,lamb-of-god,us,0,None,http://www.myspace.com/lambofgod,None,http://www.facebook.com/lambofgod,http://www.youtube.com/lambofgod
Leng Tch'e,lengtche,be,0,None,http://www.myspace.com/lengtche,http://twitter.com/lengtche,http://www.facebook.com/pages/Leng-Tche/7030041429,None
Light This City,light-this-city,us,0,None,http://www.myspace.com/lightthiscity,None,http://www.facebook.com/pages/Light-This-City/12498861242,None
Living Sacrifice,living-sacrifice,us,0,None,http://www.myspace.com/livingsacrifice,http://twitter.com/Livingsac,http://www.facebook.com/livingsacrifice,None
Lye By Mistake,lye-by-mistake,us,0,None,http://www.myspace.com/lyebymistake,None,http://www.facebook.com/pages/Lye-By-Mistake/54145253151,None
Machine Head,machine-head,us,0,None,http://www.myspace.com/machinehead,http://twitter.com/MfnH,http://www.facebook.com/MachineHead,http://www.youtube.com/user/machinehead
Mad Capsule Market's,mad-capsule-markets,jp,0,None,http://www.myspace.com/madcapsulemarkets,None,http://www.facebook.com/pages/The-Mad-Capsule-Markets/48290631752,None
Martyr,martyr,ca,1,None,http://www.myspace.com/martyrcanada,None,http://www.facebook.com/MartyrCanada,None
Massive Attack,massive-attack,uk,0,None,http://www.myspace.com/massiveattack,http://twitter.com/MassiveAttackuk,http://www.facebook.com/massiveattack,None
Mastodon,mastodon,us,1,None,http://www.myspace.com/mastodon,http://twitter.com/CracktheSkye,http://www.facebook.com/Mastodon,http://www.youtube.com/user/MastodonMusic
Meshuggah,meshuggah,se,0,None,http://www.myspace.com/meshuggah,http://twitter.com/Meshuggahband,http://www.facebook.com/meshuggah,http://www.youtube.com/user/Meshuggah
Minsk,minsk,us,1,None,http://www.myspace.com/minsk,None,http://www.facebook.com/Minsk,None
Misery Index,misery-index,us,1,None,http://www.myspace.com/miseryindex,http://twitter.com/MISERYINDEX,http://www.facebook.com/MiseryIndex,None
Misery Signals,misery-signals,us,0,None,http://www.myspace.com/miserysignals,http://twitter.com/miserysignals,http://www.facebook.com/MiserySignals,None
Mnemic,mnemic,dk,0,None,http://www.myspace.com/mnemic,http://twitter.com/MnemicOFFICIAL,http://www.facebook.com/mnemic,http://www.youtube.com/user/MnemicOfficial
Moonsorrow,moonsorrow,fi,0,None,http://www.myspace.com/moonsorrow,None,http://www.facebook.com/pages/Moonsorrow/23474099648,None
Mumakil,mumakil,ch,0,None,http://www.myspace.com/mumakil,http://twitter.com/MumakilBand,http://www.facebook.com/Mumakil,None
Muse,muse,gb,1,None,http://www.myspace.com/muse,http://twitter.com/MuSe,http://www.facebook.com/muse,http://www.youtube.com/user/muse
Naglfar,naglfar,se,0,None,http://www.myspace.com/naglfar,http://twitter.com/officialnaglfar,http://www.facebook.com/pages/Naglfar/37475436236,None
Napalm Death,napalm-death,gb,0,None,http://www.myspace.com/napalmdeath,http://twitter.com/officialND,http://www.facebook.com/ndeath,None
Nasum,nasum,se,0,None,http://www.myspace.com/nasum,None,None,None
Necrophagist,necrophagist,de,0,None,http://www.myspace.com/necrophagistde,http://twitter.com/necrophagistde,http://www.facebook.com/Necrophagist,http://www.youtube.com/user/NecrophagistOfficial
Neuraxis,neuraxis,ca,0,None,http://www.myspace.com/neuraxis,None,http://www.facebook.com/pages/Neuraxis/8036371767,http://www.youtube.com/neuraxismetal
Nevermore,nevermore,us,1,None,http://www.myspace.com/nevermorefans,http://twitter.com/NevermoreBand,None,None
Nightrage,nightrage,gr,0,None,http://www.myspace.com/nightrage,http://twitter.com/nightrage,http://www.facebook.com/nightrage,http://www.youtube.com/user/NightrageTV
Nile,nile,us,1,None,http://www.myspace.com/nilecatacombs,http://twitter.com/Nilecatacombs,http://www.facebook.com/nilecatacombs,None
Obscura,obscura,de,1,None,http://www.myspace.com/realmofobscura,http://twitter.com/ObscuraBand,http://www.facebook.com/RealmOfObscura,
Odious Mortem,odious-mortem,us,0,None,http://www.myspace.com/odiousmortem,None,None,None
Opeth,opeth,se,0,None,http://www.myspace.com/opeth,http://twitter.com/officialopeth,http://www.facebook.com/pages/Opeth/7496603409,None
Origin,origin,us,1,None,http://www.myspace.com/origin666,http://twitter.com/Originband,None,None
Pantera,pantera,us,0,None,http://www.myspace.com/pantera,http://twitter.com/Officialpantera,http://www.facebook.com/Pantera,None
Pelican,pelican,us,1,None,http://www.myspace.com/pelican,http://twitter.com/Pelicansong,http://www.facebook.com/pelicansong,None
Periphery,periphery,us,1,None,http://www.myspace.com/periphery,http://twitter.com/Peripheryband,http://www.facebook.com/pages/Periphery/19059968216,http://www.youtube.com/user/Periphery
Permillisecond,permillisecond,us,0,None,http://www.myspace.com/permillisecond,None,None,None
Pig Destroyer,pig-destroyer,us,0,None,http://www.myspace.com/therealpigdestroyer,http://twitter.com/xPigDestroyerx,http://www.facebook.com/pages/Pig-Destroyer/6374149124,None
Pitbulls In The Nursery,pitbulls-in-the-nursery,fr,0,None,http://www.myspace.com/pitn,None,None,None
Plague Bringer,plague-bringer,us,0,None,http://www.myspace.com/plaguebringer,None,http://www.facebook.com/pages/PLAGUE-BRINGER/140318581860,None
Primus,primus,us,1,None,http://www.myspace.com/primus,None,http://www.facebook.com/pages/Primus-Band/10328542662,None
Prong,prong,us,1,None,http://www.myspace.com/prong,http://twitter.com/Prongmusic,http://www.facebook.com/pages/-Prong-/38278924719,http://www.youtube.com/user/prongmusic
Protest the Hero,protest-the-hero,ca,0,None,http://www.myspace.com/protestthehero,None,http://www.facebook.com/protestthehero,None
Psychofagist,psychofagist,it,0,None,http://www.myspace.com/psychofagist,None,None,None
Psycroptic,psycroptic,au,0,None,http://www.myspace.com/psycroptic,http://twitter.com/psycroptic,http://www.facebook.com/psycroptic,None
PsyOpus,psyopus,us,0,None,http://www.myspace.com/psyopus,http://twitter.com/Psyopus,http://www.facebook.com/pages/Psyopus/6139579599,None
Quo Vadis,quo-vadis,ca,1,None,http://www.myspace.com/quovadis1,None,http://www.facebook.com/pages/Quo-Vadis/9232435677,None
Reflux,reflux,us,1,None,http://www.myspace.com/reflux,None,None,None
Russian Circles,russian-circles,us,0,None,http://www.myspace.com/russiancircles,http://twitter.com/russiancircband,http://www.facebook.com/pages/Russian-Circles/115326420491,None
Rwake,rwake,us,0,None,http://myspace.com/rwake,http://twitter.com/RwakeBand,http://www.facebook.com/pages/Rwake/6576764337,None
Samael,samael,ch,1,None,http://www.myspace.com/samael,http://twitter.com/SAMAELofficial,http://http//www.facebook.com/pages/Samael/8567804726,http://www.youtube.com/user/samaeltv
Satyricon,satyricon,no,0,None,http://www.myspace.com/satyricon,http://twitter.com/Satyriconontour,http://www.facebook.com/pages/SATYRICON/53393780363,None
Scale The Summit,scale-the-summit,us,0,None,http://www.myspace.com/scalethesummit,http://twitter.com/ScaletheSummit,http://www.facebook.com/pages/Scale-The-Summit/41752021224,None
Scar Symmetry,scar-symmetry,se,0,None,http://www.myspace.com/scarsymmetry,http://twitter.com/ScarSymmetry,http://www.facebook.com/scarsymmetry,None
Scarve,scarve,fr,1,None,http://www.myspace.com/scarve1,None,http://www.facebook.com/pages/Scarve/76213306926,None
Scissorfight,scissorfight,us,0,None,http://www.myspace.com/whitemountainrock,None,http://www.facebook.com/pages/Scissorfight/46163520756,None
Secret Chiefs 3,secret-chiefs-3,us,0,None,http://www.myspace.com/secretchiefs3,None,None,None
See You Next Tuesday,see-you-next-tuesday,us,1,None,http://www.myspace.com/seeyounexttuesday,None,None,None
Sepultura,sepultura,br,0,None,http://www.myspace.com/sepultura,http://twitter.com/SepulturaComBr,http://www.facebook.com/Sepulturacombr,http://www.youtube.com/user/sepulturacombr
Shadow,shadow,jp,1,None,http://www.myspace.com/shadowdm,None,None,None
Shadows Fall,shadows-fall,us,0,None,http://www.myspace.com/shadowsfall,http://twitter.com/ShadowsFallband,http://www.facebook.com/shadowsfall,http://www.youtube.com/user/shadowsfallvideos
Shining,shining,no,1,None,http://www.myspace.com/shiningofficial,http://twitter.com/SHININGofficial,http://www.facebook.com/shiningnorway,http://www.youtube.com/SHININGofficial
SikTh,sikth,gb,0,None,http://www.myspace.com/sikth,None,None,None
Skindred,skindred,uk,0,None,http://www.myspace.com/skindred,http://twitter.com/SkindredMusic,http://www.facebook.com/pages/Skindred/56214862584,None
Skinless,skinless,us,1,None,http://www.myspace.com/skinless,http://twitter.com/SkinlessBand,http://www.facebook.com/Skinless,None
Slayer,slayer,us,1,None,http://www.myspace.com/slayer,http://twitter.com/Slayerband,http://www.facebook.com/pages/Slayer/9142463087,http://www.youtube.com/user/SlayerTV
Sleep Terror,sleep-terror,us,1,None,http://www.myspace.com/sleepterror,None,http://www.facebook.com/pages/Sleep-Terror/208272609044,None
Snot,snot,us,1,None,http://www.myspace.com/snot,None,None,None
Soilent Green,soilent-green,us,0,None,http://www.myspace.com/soilentgreen,http://twitter.com/Soilentgreen,http://www.facebook.com/SOILENTGREEN,None
Soilwork,soilwork,se,0,None,http://www.myspace.com/soilwork,http://twitter.com/_Soilwork,http://www.facebook.com/soilwork,http://www.youtube.com/user/soilwork
Spawn of Possession,spawn-of-possession,se,0,None,http://www.myspace.com/spawnofpossession,None,http://www.facebook.com/SpawnofPossession,None
Spiral Architect,spiral-architect,no,0,None,http://www.myspace.com/unofficialspiralarchitect,None,None,None
Squarepusher,squarepusher,gb,0,None,http://www.myspace.com/doyouknowsquarepusher,None,http://www.facebook.com/squarepusher,None
Starring Janet Leigh,starring-janet-leigh,ca,0,None,http://www.myspace.com/starringjanetleigh,None,http://www.facebook.com/pages/Starring-Janet-Leigh/8002075681,None
Strapping Young Lad,strapping-young-lad,ca,0,None,http://www.myspace.com/strappingyounglad,None,http://www.facebook.com/pages/Strapping-Young-Lad/29338818912,None
Suffocation,suffocation,us,1,None,http://www.myspace.com/suffocation,http://twitter.com/SuffocationBand,http://www.facebook.com/suffocation,http://www.youtube.com/user/Suffocation
Swarm of the Lotus,swarm-of-the-lotus,us,0,None,http://www.myspace.com/swarmofthelotus,None,http://www.facebook.com/pages/Swarm-of-the-Lotus/318795770789,None
Sybreed,sybreed,ch,0,None,http://www.myspace.com/sybreed,http://twitter.com/sybreed,http://www.facebook.com/pages/Sybreed/260221258054,http://www.youtube.com/user/SybreedOfficial
Symphony X,symphony-x,us,0,None,http://www.myspace.com/officialsymphonyx,http://twitter.com/SymphonyX,http://www.facebook.com/pages/SymphonyX/21483906576,None
Synthetic Breed,synthetic-breed,au,0,None,http://www.myspace.com/synbreed,None,http://www.facebook.com/pages/Synthetic-Breed/13640631487,None
System of a Down,system-of-a-down,us,0,None,http://www.myspace.com/soad,None,None,None
Tangaroa,tangaroa,gb,1,None,http://www.myspace.com/uglypeoplebreedfast,None,None,None
Terminal Function,terminal-function,se,1,None,http://www.myspace.com/terminalfunction,None,None,None
Tesseract,tesseract,gb,1,None,http://www.myspace.com/tesseract,http://twitter.com/TesseractBand,http://www.facebook.com/pages/TesseracT/21727135163,http://www.youtube.com/user/Tesseractproject
Textures,textures,nl,1,None,http://www.myspace.com/textures,http://twitter.com/Texturesband,http://www.facebook.com/textures,None
The Arusha Accord,the-arusha-accord,gb,0,None,http://www.myspace.com/thearushaaccorduk,http://twitter.com/thearushaaccord,http://www.facebook.com/pages/The-Arusha-Accord/8740228790,None
The Bakerton Group,the-bakerton-group,us,0,None,http://www.myspace.com/thebakertongroup,None,http://www.facebook.com/pages/Clutch-The-Bakerton-Group-Weathermaker-Music/16637738637,None
The Dillinger Escape Plan,the-dillinger-escape-plan,us,0,None,http://www.myspace.com/dillingerescapeplan,http://twitter.com/DillingerEscPln,http://www.facebook.com/dillingerescapeplan,None
The Faceless,the-faceless,us,1,None,http://www.myspace.com/thefaceless,None,None,None
